,filename,result_50_features,distance_50_features,time_50_features,result_100_features,distance_100_features,time_100_features,result_200_features,distance_200_features,time_200_features,result_300_features,distance_300_features,time_300_features
141,20190217_101602.jpg,[],[],[],[],[],[],[],[],[],[],[],[]
142,20190217_110041.jpg,['Zaal_D__20190323_113949__01.png'],[255.0],[0.24395029199999385],['Zaal_D__20190323_113949__01.png'],[180.0],[0.2764854170000035],['Zaal_D__20190323_113949__01.png'],[127.0],[0.4003730409999662],['Zaal_D__20190323_113949__01.png'],[119.0],[0.5498882499998672]
143,20190217_104020.jpg,['Zaal_B__20190323_112638__01.png'],[518.0],[0.24077141600000118],['Zaal_B__20190323_112638__01.png'],[453.0],[0.2718224589999636],['Zaal_B__20190323_112638__01.png'],[431.0],[0.40000112500001705],['Zaal_B__20190323_112638__01.png'],[389.0],[0.5484104160000243]
144,20190217_105306.jpg,['zaal_7__IMG_20190323_113103__01.png'],[1633.0],[0.23202370800001404],['zaal_1__IMG_20190323_111845__02.png'],[1229.0],[0.2691083330000765],['zaal_S__IMG_20190323_122919__06.png'],[1041.0],[0.36871529099994405],['zaal_S__IMG_20190323_122540__01.png'],[936.0],[0.47916891700015185]
145,20190217_102657.jpg,['zaal_19__IMG_20190323_121537__09.png'],[1407.0],[0.24313983300001496],['zaal_17__IMG_20190323_120515__01.png'],[442.0],[0.2800913749999836],['zaal_17__IMG_20190323_120515__01.png'],[312.0],[0.40073679199997514],['zaal_17__IMG_20190323_120515__01.png'],[282.0],[0.5276408749998609]
146,20190217_103401.jpg,['zaal_S__IMG_20190323_122524__01.png'],[492.0],[0.23925370800000678],['zaal_S__IMG_20190323_122524__01.png'],[383.0],[0.274072541999999],['zaal_S__IMG_20190323_122524__01.png'],[259.0],[0.4087114169999495],['zaal_S__IMG_20190323_122524__01.png'],[217.0],[0.5250389999998788]
147,20190217_105716.jpg,"['zaal_2__IMG_20190323_112012__01.png', 'zaal_S__IMG_20190323_122815__01.png', 'zaal_19__IMG_20190323_121537__07.png', 'zaal_19__IMG_20190323_121221__01.png', 'zaal_19__IMG_20190323_121457__08.png', 'zaal_15__IMG_20190323_120141__01.png', 'zaal_19__IMG_20190323_121622__01.png', 'zaal_S__IMG_20190323_122844__08.png']","[1431.0, 798.0, 1355.0, 1512.0, 1554.0, 1322.0, 1310.0, 1291.0]","[0.2429528750000145, 0.23704320799998868, 0.24102274999998485, 0.2405518749999942, 0.23774233299999992, 0.23869729200001188, 0.236909417000021, 0.23754575000000955, 0.2362647079999931]","['Zaal_L__20190323_122719__01.png', 'zaal_S__IMG_20190323_122815__01.png', 'zaal_S__IMG_20190323_122844__06.png', 'zaal_S__IMG_20190323_122844__04.png', 'zaal_S__IMG_20190323_122844__03.png', 'zaal_S__IMG_20190323_122819__01.png', 'zaal_S__IMG_20190323_122754__01.png', 'zaal_S__IMG_20190323_122752__01.png', 'zaal_S__IMG_20190323_122844__07.png']","[1262.0, 615.0, 876.0, 1056.0, 747.0, 989.0, 797.0, 633.0, 967.0]","[0.27852916699998786, 0.2742082920000257, 0.2792390829999931, 0.2786225410000043, 0.2652300000000878, 0.27097645799995007, 0.27294591700001547, 0.2685109999999895, 0.27671924999992825]","['zaal_19__IMG_20190323_121457__09.png', 'zaal_S__IMG_20190323_122815__01.png', 'zaal_S__IMG_20190323_122844__06.png', 'zaal_S__IMG_20190323_122844__04.png', 'zaal_S__IMG_20190323_122844__03.png', 'zaal_S__IMG_20190323_122844__05.png', 'zaal_S__IMG_20190323_122754__01.png', 'zaal_S__IMG_20190323_122752__01.png', 'zaal_S__IMG_20190323_122844__07.png']","[1150.0, 520.0, 705.0, 817.0, 609.0, 812.0, 591.0, 502.0, 716.0]","[0.41227329200000895, 0.40575204200001735, 0.4068825829999696, 0.40160787499996786, 0.35503158300002724, 0.394046000000003, 0.4008424579999428, 0.39948087499999474, 0.37986308400002144]","['zaal_1__IMG_20190323_111749__03.png', 'zaal_S__IMG_20190323_122815__01.png', 'zaal_S__IMG_20190323_122844__06.png', 'zaal_S__IMG_20190323_122844__04.png', 'zaal_S__IMG_20190323_122844__03.png', 'zaal_S__IMG_20190323_122844__05.png', 'zaal_S__IMG_20190323_122754__01.png', 'zaal_S__IMG_20190323_122752__01.png', 'zaal_S__IMG_20190323_122844__07.png']","[1068.0, 482.0, 633.0, 759.0, 580.0, 785.0, 547.0, 429.0, 712.0]","[0.5330048340001667, 0.5288929169998937, 0.5307064160001573, 0.5225829580001573, 0.42915433300004224, 0.4455391659998895, 0.5186397909999414, 0.5261020830000689, 0.4767246249998607]"
148,20190217_102045.jpg,[],[],[],[],[],[],[],[],[],[],[],[]
149,20190217_105514.jpg,"['zaal_19__IMG_20190323_121434__09.png', 'zaal_19__IMG_20190323_121411__08.png', 'Zaal_F__20190323_120008__01.png']","[1471.0, 1431.0, 1322.0]","[0.24534270799998126, 0.24064262499999245, 0.23868333299998312, 0.23938345899998126]","['zaal_S__IMG_20190323_122600__01.png', 'zaal_S__IMG_20190323_122537__01.png', 'Zaal_C__20190323_112909__04.png', 'zaal_S__IMG_20190323_122547__02.png']","[1130.0, 975.0, 1145.0, 886.0]","[0.2795904159999054, 0.2772994169999947, 0.27321929100003217, 0.27047474999994847]","['zaal_S__IMG_20190323_122600__01.png', 'zaal_S__IMG_20190323_122537__01.png', 'zaal_S__IMG_20190323_122553__01.png', 'zaal_S__IMG_20190323_122553__02.png']","[689.0, 826.0, 861.0, 686.0]","[0.3933852919999481, 0.39384195899992847, 0.40581529199994293, 0.3962505000000647]","['zaal_S__IMG_20190323_122600__01.png', 'zaal_S__IMG_20190323_122537__01.png', 'zaal_S__IMG_20190323_122553__01.png', 'zaal_S__IMG_20190323_122553__02.png']","[603.0, 787.0, 763.0, 636.0]","[0.5164445000000342, 0.5244978339999307, 0.5090212909999536, 0.5314002500001607]"
150,20190217_101955.jpg,['zaal_P__IMG_20190323_123801__01.png'],[497.0],[0.24474449999999592],['zaal_P__IMG_20190323_123801__01.png'],[299.0],[0.2784530410000343],['zaal_P__IMG_20190323_123801__01.png'],[234.0],[0.41051824999999553],['zaal_P__IMG_20190323_123801__01.png'],[212.0],[0.5351442499998029]
151,20190203_111638.jpg,[],[],[],[],[],[],[],[],[],[],[],[]
152,20190217_103825.jpg,[],[],[],[],[],[],[],[],[],[],[],[]
153,20190217_102520.jpg,['zaal_19__IMG_20190323_121148__01.png'],[326.0],[0.2477602499999989],['zaal_19__IMG_20190323_121148__01.png'],[233.0],[0.2785193329999629],['zaal_19__IMG_20190323_121148__01.png'],[182.0],[0.40265487499993924],['zaal_19__IMG_20190323_121148__01.png'],[145.0],[0.5394637080000848]
154,20190217_105924.jpg,[],[],[0.2024413329999959],[],[],[0.20523720799997136],[],[],[0.20121333299994149],[],[],[0.20006370900000547]
155,20190217_112525.jpg,[],[],[0.24246233399998118],['zaal_15__IMG_20190323_120309__01.png'],[758.0],[0.2794762499999024],['zaal_15__IMG_20190323_120309__01.png'],[550.0],[0.4016055829999914],['zaal_15__IMG_20190323_120309__01.png'],[439.0],[0.5202132500000971]
