,filename,result_euclidean,distance_euclidean,second_distance_euclidean,time_euclidean,result_cityblock,distance_cityblock,second_distance_cityblock,time_cityblock,result_minkowski,distance_minkowski,second_distance_minkowski,time_minkowski,result_chebyshev,distance_chebyshev,second_distance_chebyshev,time_chebyshev,result_cosine,distance_cosine,second_distance_cosine,time_cosine,result_jaccard,distance_jaccard,second_distance_jaccard,time_jaccard
210,20190323_122739.jpg,"[""Zaal_L__20190323_122739__01.png""]",[40.259151458740234],[42.8006477355957],[0.07252337500000294],"[""Zaal_L__20190323_122739__01.png""]",[1127.755615234375],[1235.203857421875],[0.05870720799998708],"[""Zaal_L__20190323_122739__01.png""]",[40.259151458740234],[42.8006477355957],[0.05661466700001938],"[""Zaal_L__20190323_122739__01.png""]",[3.9026882648468018],[4.5361247062683105],[0.22170720900001584],"[""Zaal_L__20190323_122739__01.png""]",[0.19160830974578857],[0.21996259689331055],[0.08128595900001301],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.06838187500000004]
211,20190323_122326.jpg,"[""Zaal_K__20190323_122326__01.png""]",[45.57326126098633],[58.02360916137695],[0.06853041700000517],"[""Zaal_K__20190323_122326__01.png""]",[1408.8583984375],[1833.9520263671875],[0.05641412500000342],"[""Zaal_K__20190323_122326__01.png""]",[45.57326126098633],[58.02360916137695],[0.05656529200001614],"[""Zaal_K__20190323_122326__01.png""]",[4.766615390777588],[6.2039289474487305],[0.22550474999999892],"[""Zaal_K__20190323_122326__01.png""]",[0.1977076530456543],[0.34323251247406006],[0.07948983400001453],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.06890874999999141]
212,20190323_122122.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
213,20190323_122032.jpg,"[""Zaal_K__20190323_122032__01.png""]",[19.79503631591797],[29.987123489379883],[0.07160354100000177],"[""Zaal_K__20190323_122032__01.png""]",[603.2679443359375],[957.9024658203125],[0.05751070799999525],"[""Zaal_K__20190323_122032__01.png""]",[19.79503631591797],[29.987123489379883],[0.05771666600000458],"[""Zaal_K__20190323_122032__01.png""]",[2.0458974838256836],[2.726980209350586],[0.22514737500000592],"[""Zaal_K__20190323_122032__01.png""]",[0.05388277769088745],[0.13011932373046875],[0.09474491699998566],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.07139599999999291]
214,20190323_122019.jpg,"[""Zaal_K__20190323_122019__01.png""]",[31.931087493896484],[36.54005432128906],[0.07290341699999203],"[""Zaal_K__20190323_122019__01.png""]",[994.9722900390625],[1090.798095703125],[0.05570066699999643],"[""Zaal_K__20190323_122019__01.png""]",[31.931087493896484],[36.54005432128906],[0.05676358299999151],"[""Zaal_K__20190323_122019__01.png""]",[3.3103597164154053],[3.5337584018707275],[0.22363220799999795],"[""Zaal_K__20190323_122019__01.png""]",[0.16976040601730347],[0.20727097988128662],[0.08023345800000925],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.06795004100001734]
215,20190323_122357.jpg,"[""Zaal_L__20190323_122739__01.png"", ""Zaal_K__20190323_122357__01.png"", ""Zaal_L__20190323_122614__02.png"", ""Zaal_K__20190323_122357__01.png""]","[32.626583099365234, 39.74260711669922, 30.89006996154785, 36.110740661621094]","[33.06595230102539, 41.85398483276367, 33.892295837402344, 36.845306396484375]","[0.0591447920000121, 0.050292000000013104, 0.05034483399998635, 0.05018537499998388]","[""Zaal_L__20190323_122739__01.png"", ""Zaal_K__20190323_122357__01.png"", ""Zaal_L__20190323_122614__02.png"", ""Zaal_K__20190323_122357__01.png""]","[921.382080078125, 1263.416259765625, 947.5413818359375, 1147.3359375]","[947.82275390625, 1397.439453125, 1024.962158203125, 1163.2886962890625]","[0.051191458999994666, 0.05090454200001204, 0.051183999999977914, 0.050994749999972555]","[""Zaal_L__20190323_122739__01.png"", ""Zaal_K__20190323_122357__01.png"", ""Zaal_L__20190323_122614__02.png"", ""Zaal_K__20190323_122357__01.png""]","[32.626583099365234, 39.74260711669922, 30.89006996154785, 36.110740661621094]","[33.06595230102539, 41.85398483276367, 33.892295837402344, 36.845306396484375]","[0.05194879199999036, 0.05384800000001633, 0.05143925000001559, 0.052037416000018766]","[""Zaal_K__20190323_122357__03.png"", ""zaal_10__IMG_20190323_113920__01.png"", ""zaal_11__IMG_20190323_114113__01.png"", ""Zaal_L__20190323_122825__01.png""]","[3.151421546936035, 3.4242541790008545, 3.102797508239746, 3.2651400566101074]","[3.238600730895996, 3.6168675422668457, 3.1174302101135254, 3.2714903354644775]","[0.21866183299999875, 0.21915295900001297, 0.21683062500000005, 0.21823508299999617]","[""Zaal_K__20190323_122235__01.png"", ""Zaal_K__20190323_122357__01.png"", ""Zaal_L__20190323_122614__02.png"", ""Zaal_K__20190323_122357__01.png""]","[0.14999061822891235, 0.16972404718399048, 0.14348071813583374, 0.20887327194213867]","[0.1505609154701233, 0.1900356411933899, 0.17093712091445923, 0.24088573455810547]","[0.07691487499999994, 0.07296658300001013, 0.07639037499998835, 0.07673195899999996]","[""zaal_19__IMG_20190323_121622__09.png"", ""zaal_19__IMG_20190323_121622__09.png"", ""zaal_19__IMG_20190323_121622__09.png"", ""zaal_19__IMG_20190323_121622__09.png""]","[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]","[0.0672949160000087, 0.06536595900001885, 0.06331262499998047, 0.06356254199999967]"
216,20190323_122235.jpg,"[""zaal_15__IMG_20190323_115648__01.png""]",[58.32354736328125],[61.84034729003906],[0.07382400000000189],"[""zaal_15__IMG_20190323_115648__01.png""]",[1919.71923828125],[2035.43359375],[0.05380537499999605],"[""zaal_15__IMG_20190323_115648__01.png""]",[58.32354736328125],[61.84034729003906],[0.05488325000001737],"[""zaal_2__IMG_20190323_112012__01.png""]",[5.755010604858398],[5.812324523925781],[0.22146058299998117],"[""zaal_15__IMG_20190323_115648__01.png""]",[0.28755950927734375],[0.3303214907646179],[0.07817208299999834],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.06976904200001854]
217,20190323_122001.jpg,"[""Zaal_K__20190323_122001__01.png""]",[31.269268035888672],[33.596832275390625],[0.06660283299999037],"[""Zaal_K__20190323_122001__01.png""]",[905.7592163085938],[975.386474609375],[0.059437500000001364],"[""Zaal_K__20190323_122001__01.png""]",[31.269268035888672],[33.596832275390625],[0.057494875000003276],"[""Zaal_K__20190323_122032__01.png""]",[3.574699878692627],[3.6468727588653564],[0.22376716700000543],"[""Zaal_K__20190323_122001__01.png""]",[0.11610186100006104],[0.13480699062347412],[0.08280416700000615],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.06954670900000792]
218,20190323_122258.jpg,"[""Zaal_K__20190323_122258__01.png""]",[43.147613525390625],[44.050941467285156],[0.06655991600001698],"[""Zaal_K__20190323_122258__01.png""]",[1316.0474853515625],[1341.2802734375],[0.05637645799998836],"[""Zaal_K__20190323_122258__01.png""]",[43.147613525390625],[44.050941467285156],[0.056317874999990636],"[""Zaal_K__20190323_122258__01.png""]",[4.468204498291016],[4.625525951385498],[0.2252583329999993],"[""Zaal_K__20190323_122258__01.png""]",[0.17793512344360352],[0.21359729766845703],[0.07871987499999022],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.06750854099999515]
219,20190323_112409.jpg,"[""Zaal_B__20190323_112409__01.png"", ""Zaal_C__20190323_112909__03.png""]","[56.614253997802734, 54.0850944519043]","[66.3965072631836, 55.11982345581055]","[0.07212762500000736, 0.049443540999988045]","[""Zaal_B__20190323_112409__01.png"", ""Zaal_C__20190323_112909__03.png""]","[1657.6202392578125, 2135.77783203125]","[1981.38623046875, 2179.364990234375]","[0.06257999999999697, 0.05048970799998642]","[""Zaal_B__20190323_112409__01.png"", ""Zaal_C__20190323_112909__03.png""]","[56.614253997802734, 54.0850944519043]","[66.3965072631836, 55.11982345581055]","[0.0578754169999911, 0.05090104200002088]","[""Zaal_B__20190323_112409__01.png"", ""zaal_2__IMG_20190323_112113__01.png""]","[5.94308614730835, 3.672208547592163]","[6.185019493103027, 3.8936917781829834]","[0.22263870800000518, 0.2209750000000099]","[""Zaal_B__20190323_112409__01.png"", ""Zaal_C__20190323_113006__01.png""]","[0.21959155797958374, 0.5103804767131805]","[0.313862681388855, 0.5156873464584351]","[0.08254245800000604, 0.0735615419999931]","[""zaal_19__IMG_20190323_121622__09.png"", ""zaal_19__IMG_20190323_121622__09.png""]","[1.0, 1.0]","[1.0, 1.0]","[0.07134800000000041, 0.061596332999982906]"
