,Room,Photo,path,kind
41,Zaal_C,20190323_113006,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_C/20190323_113006.jpg,TP
42,Zaal_C,20190323_113006,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_C/20190323_113006.jpg,TP
43,Zaal_C,20190323_113006,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_C/20190323_113006.jpg,TP
44,Zaal_C,20190323_113006,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_C/20190323_113006.jpg,TP
45,Zaal_C,20190323_113006,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_C/20190323_113006.jpg,TP
46,Zaal_C,20190323_113006,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_C/20190323_113006.jpg,TP
47,Zaal_D,20190323_113233,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_113233.jpg,TP
48,Zaal_D,20190323_113251,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_113251.jpg,TP
49,Zaal_D,20190323_113313,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_113313.jpg,TP
50,Zaal_D,20190323_113342,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_113342.jpg,TP
51,Zaal_D,20190323_113404,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_113404.jpg,TP
52,Zaal_D,20190323_113528,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_113528.jpg,TP
53,Zaal_D,20190323_113603,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_D/20190323_113603.jpg,TP
